sdc_event_id,superevent_id,model_id,model_filepath,gcn_filepath,timestamp_utc,distance_mpc,z,pointings
19,GW280111a,674,gammapy_models/GW280111a_catO5_674_gammapy.fits,GCNs/GW280111a_GCN.json,2028-01-11 02:31:31.737785,703.0,0.144,[]
20,GW280111b,1069,gammapy_models/GW280111b_catO5_1069_gammapy.fits,GCNs/GW280111b_GCN.json,2028-01-11 15:35:39.733908,720.0,0.147,[]
21,GW280112a,40,gammapy_models/GW280112a_catO5_40_gammapy.fits,GCNs/GW280112a_GCN.json,2028-01-12 03:59:20.460322,818.0,0.165,[]
22,GW280112b,1160,gammapy_models/GW280112b_catO5_1160_gammapy.fits,GCNs/GW280112b_GCN.json,2028-01-12 04:10:38.132122,478.0,0.1,[]
23,GW280112c,1201,gammapy_models/GW280112c_catO5_1201_gammapy.fits,GCNs/GW280112c_GCN.json,2028-01-12 05:25:30.114325,592.0,0.123,[]
24,GW280112d,2265,gammapy_models/GW280112d_catO5_2265_gammapy.fits,GCNs/GW280112d_GCN.json,2028-01-12 06:49:13.309247,420.0,0.089,[]
25,GW280112e,2278,gammapy_models/GW280112e_catO5_2278_gammapy.fits,GCNs/GW280112e_GCN.json,2028-01-12 09:38:14.764536,1810.0,0.333,[]
26,GW280112f,1926,gammapy_models/GW280112f_catO5_1926_gammapy.fits,GCNs/GW280112f_GCN.json,2028-01-12 20:00:27.609234,778.0,0.158,[]
27,GW280114a,1381,gammapy_models/GW280114a_catO5_1381_gammapy.fits,GCNs/GW280114a_GCN.json,2028-01-14 08:54:36.741660,1180.0,0.229,[]
28,GW280114b,1457,gammapy_models/GW280114b_catO5_1457_gammapy.fits,GCNs/GW280114b_GCN.json,2028-01-14 22:59:21.742973,155.0,0.034,[]
29,GW280115a,1984,gammapy_models/GW280115a_catO5_1984_gammapy.fits,GCNs/GW280115a_GCN.json,2028-01-15 02:16:08.015702,1130.0,0.221,[]
30,GW280115b,234,gammapy_models/GW280115b_catO5_234_gammapy.fits,GCNs/GW280115b_GCN.json,2028-01-15 02:31:11.619859,385.0,0.082,[]
31,GW280115c,2137,gammapy_models/GW280115c_catO5_2137_gammapy.fits,GCNs/GW280115c_GCN.json,2028-01-15 07:36:08.625535,2950.0,0.504,[]
32,GW280115d,801,gammapy_models/GW280115d_catO5_801_gammapy.fits,GCNs/GW280115d_GCN.json,2028-01-15 09:25:59.505535,408.0,0.087,[]
33,GW280116a,666,gammapy_models/GW280116a_catO5_666_gammapy.fits,GCNs/GW280116a_GCN.json,2028-01-16 02:08:46.569540,371.0,0.079,[]
34,GW280116b,777,gammapy_models/GW280116b_catO5_777_gammapy.fits,GCNs/GW280116b_GCN.json,2028-01-16 08:02:23.460004,691.0,0.141,[]
35,GW280116c,550,gammapy_models/GW280116c_catO5_550_gammapy.fits,GCNs/GW280116c_GCN.json,2028-01-16 20:39:40.076308,343.0,0.073,[]
36,GW280117a,779,gammapy_models/GW280117a_catO5_779_gammapy.fits,GCNs/GW280117a_GCN.json,2028-01-17 04:21:50.377777,926.0,0.185,[]
37,GW280117b,438,gammapy_models/GW280117b_catO5_438_gammapy.fits,GCNs/GW280117b_GCN.json,2028-01-17 05:56:58.703768,443.0,0.094,[]
38,GW280117c,180,gammapy_models/GW280117c_catO5_180_gammapy.fits,GCNs/GW280117c_GCN.json,2028-01-17 20:05:05.800872,592.0,0.123,[]
39,GW280118a,2066,gammapy_models/GW280118a_catO5_2066_gammapy.fits,GCNs/GW280118a_GCN.json,2028-01-18 02:30:51.059501,414.0,0.088,[]
40,GW280119a,1776,gammapy_models/GW280119a_catO5_1776_gammapy.fits,GCNs/GW280119a_GCN.json,2028-01-19 10:33:58.087110,613.0,0.127,[]
41,GW280119b,1501,gammapy_models/GW280119b_catO5_1501_gammapy.fits,GCNs/GW280119b_GCN.json,2028-01-19 16:01:34.086598,386.0,0.082,[]
42,GW280119c,2210,gammapy_models/GW280119c_catO5_2210_gammapy.fits,GCNs/GW280119c_GCN.json,2028-01-19 23:12:34.913524,147.0,0.032,[]
43,GW280121a,1480,gammapy_models/GW280121a_catO5_1480_gammapy.fits,GCNs/GW280121a_GCN.json,2028-01-21 15:10:40.213297,555.0,0.115,[]
44,GW280121b,174,gammapy_models/GW280121b_catO5_174_gammapy.fits,GCNs/GW280121b_GCN.json,2028-01-21 18:02:53.619220,298.0,0.064,[]
45,GW280122a,1371,gammapy_models/GW280122a_catO5_1371_gammapy.fits,GCNs/GW280122a_GCN.json,2028-01-22 05:00:17.657646,410.0,0.087,[]
46,GW280123a,364,gammapy_models/GW280123a_catO5_364_gammapy.fits,GCNs/GW280123a_GCN.json,2028-01-23 10:39:00.927991,515.0,0.108,[]
47,GW280123b,931,gammapy_models/GW280123b_catO5_931_gammapy.fits,GCNs/GW280123b_GCN.json,2028-01-23 20:39:25.634541,985.0,0.195,[]
48,GW280125a,2078,gammapy_models/GW280125a_catO5_2078_gammapy.fits,GCNs/GW280125a_GCN.json,2028-01-25 11:01:36.585499,172.0,0.038,[]
49,GW280126a,1640,gammapy_models/GW280126a_catO5_1640_gammapy.fits,GCNs/GW280126a_GCN.json,2028-01-26 18:46:32.726117,671.0,0.138,[]
50,GW280126b,1535,gammapy_models/GW280126b_catO5_1535_gammapy.fits,GCNs/GW280126b_GCN.json,2028-01-26 18:56:11.451339,754.0,0.153,[]
51,GW280128a,772,gammapy_models/GW280128a_catO5_772_gammapy.fits,GCNs/GW280128a_GCN.json,2028-01-28 00:38:22.077110,351.0,0.075,[]
52,GW280128b,1217,gammapy_models/GW280128b_catO5_1217_gammapy.fits,GCNs/GW280128b_GCN.json,2028-01-28 13:32:16.627300,1060.0,0.208,[]
53,GW280129a,1408,gammapy_models/GW280129a_catO5_1408_gammapy.fits,GCNs/GW280129a_GCN.json,2028-01-29 10:57:27.596389,554.0,0.115,[]
54,GW280131a,1500,gammapy_models/GW280131a_catO5_1500_gammapy.fits,GCNs/GW280131a_GCN.json,2028-01-31 04:07:49.544457,445.0,0.094,[]
55,GW280131b,1555,gammapy_models/GW280131b_catO5_1555_gammapy.fits,GCNs/GW280131b_GCN.json,2028-01-31 06:36:15.022480,376.0,0.08,[]
56,GW280201a,437,gammapy_models/GW280201a_catO5_437_gammapy.fits,GCNs/GW280201a_GCN.json,2028-02-01 00:47:14.926242,500.0,0.105,[]
57,GW280201b,981,gammapy_models/GW280201b_catO5_981_gammapy.fits,GCNs/GW280201b_GCN.json,2028-02-01 06:32:26.084194,584.0,0.121,[]
58,GW280203a,655,gammapy_models/GW280203a_catO5_655_gammapy.fits,GCNs/GW280203a_GCN.json,2028-02-03 15:05:51.898221,575.0,0.119,[]
59,GW280204a,1171,gammapy_models/GW280204a_catO5_1171_gammapy.fits,GCNs/GW280204a_GCN.json,2028-02-04 06:23:13.244174,460.0,0.097,[]
60,GW280204b,2052,gammapy_models/GW280204b_catO5_2052_gammapy.fits,GCNs/GW280204b_GCN.json,2028-02-04 06:42:59.251765,158.0,0.035,[]
61,GW280205a,1189,gammapy_models/GW280205a_catO5_1189_gammapy.fits,GCNs/GW280205a_GCN.json,2028-02-05 07:09:33.957430,125.0,0.028,[]
62,GW280207a,559,gammapy_models/GW280207a_catO5_559_gammapy.fits,GCNs/GW280207a_GCN.json,2028-02-07 09:36:03.489478,598.0,0.124,[]
63,GW280207b,1557,gammapy_models/GW280207b_catO5_1557_gammapy.fits,GCNs/GW280207b_GCN.json,2028-02-07 14:46:00.953293,568.0,0.118,[]
64,GW280207c,830,gammapy_models/GW280207c_catO5_830_gammapy.fits,GCNs/GW280207c_GCN.json,2028-02-07 21:58:12.012975,786.0,0.159,[]
65,GW280209a,485,gammapy_models/GW280209a_catO5_485_gammapy.fits,GCNs/GW280209a_GCN.json,2028-02-09 15:31:52.998419,659.0,0.135,[]
66,GW280211a,1750,gammapy_models/GW280211a_catO5_1750_gammapy.fits,GCNs/GW280211a_GCN.json,2028-02-11 08:57:26.677599,669.0,0.137,[]
67,GW280211b,2185,gammapy_models/GW280211b_catO5_2185_gammapy.fits,GCNs/GW280211b_GCN.json,2028-02-11 09:07:08.921894,1520.0,0.287,[]
68,GW280212a,1375,gammapy_models/GW280212a_catO5_1375_gammapy.fits,GCNs/GW280212a_GCN.json,2028-02-12 18:10:35.038150,845.0,0.17,[]
69,GW280213a,2043,gammapy_models/GW280213a_catO5_2043_gammapy.fits,GCNs/GW280213a_GCN.json,2028-02-13 09:09:03.562726,303.0,0.065,[]
70,GW280215a,1562,gammapy_models/GW280215a_catO5_1562_gammapy.fits,GCNs/GW280215a_GCN.json,2028-02-15 05:51:04.583580,849.0,0.171,[]
71,GW280215b,653,gammapy_models/GW280215b_catO5_653_gammapy.fits,GCNs/GW280215b_GCN.json,2028-02-15 08:10:36.348605,432.0,0.091,[]
72,GW280215c,797,gammapy_models/GW280215c_catO5_797_gammapy.fits,GCNs/GW280215c_GCN.json,2028-02-15 10:09:21.040736,716.0,0.146,[]
73,GW280216a,1529,gammapy_models/GW280216a_catO5_1529_gammapy.fits,GCNs/GW280216a_GCN.json,2028-02-16 15:43:51.644601,593.0,0.123,[]
74,GW280217a,1311,gammapy_models/GW280217a_catO5_1311_gammapy.fits,GCNs/GW280217a_GCN.json,2028-02-17 12:16:05.271418,523.0,0.109,[]
75,GW280218a,278,gammapy_models/GW280218a_catO5_278_gammapy.fits,GCNs/GW280218a_GCN.json,2028-02-18 09:03:32.537850,6290.0,0.94,[]
76,GW280218b,793,gammapy_models/GW280218b_catO5_793_gammapy.fits,GCNs/GW280218b_GCN.json,2028-02-18 18:13:36.829041,9160.0,1.275,[]
77,GW280218c,1982,gammapy_models/GW280218c_catO5_1982_gammapy.fits,GCNs/GW280218c_GCN.json,2028-02-18 21:19:16.943991,375.0,0.08,[]
78,GW280219a,93,gammapy_models/GW280219a_catO5_93_gammapy.fits,GCNs/GW280219a_GCN.json,2028-02-19 01:27:44.408451,991.0,0.196,[]
79,GW280220a,320,gammapy_models/GW280220a_catO5_320_gammapy.fits,GCNs/GW280220a_GCN.json,2028-02-20 12:02:55.630513,779.0,0.158,[]
80,GW280221a,1870,gammapy_models/GW280221a_catO5_1870_gammapy.fits,GCNs/GW280221a_GCN.json,2028-02-21 08:34:49.798855,5110.0,0.793,[]
81,GW280221b,1749,gammapy_models/GW280221b_catO5_1749_gammapy.fits,GCNs/GW280221b_GCN.json,2028-02-21 10:34:36.977787,232.0,0.05,[]
82,GW280221c,335,gammapy_models/GW280221c_catO5_335_gammapy.fits,GCNs/GW280221c_GCN.json,2028-02-21 10:38:05.732444,754.0,0.153,[]
83,GW280222a,229,gammapy_models/GW280222a_catO5_229_gammapy.fits,GCNs/GW280222a_GCN.json,2028-02-22 01:12:46.260170,845.0,0.17,[]
84,GW280222b,888,gammapy_models/GW280222b_catO5_888_gammapy.fits,GCNs/GW280222b_GCN.json,2028-02-22 06:09:38.827725,1800.0,0.332,[]
85,GW280223a,850,gammapy_models/GW280223a_catO5_850_gammapy.fits,GCNs/GW280223a_GCN.json,2028-02-23 19:26:19.706877,824.0,0.166,[]
86,GW280223b,338,gammapy_models/GW280223b_catO5_338_gammapy.fits,GCNs/GW280223b_GCN.json,2028-02-23 23:02:34.838780,827.0,0.167,[]
87,GW280224a,1644,gammapy_models/GW280224a_catO5_1644_gammapy.fits,GCNs/GW280224a_GCN.json,2028-02-24 01:19:30.580896,1070.0,0.21,[]
88,GW280224b,1284,gammapy_models/GW280224b_catO5_1284_gammapy.fits,GCNs/GW280224b_GCN.json,2028-02-24 01:45:05.616501,222.0,0.048,[]
89,GW280225a,2116,gammapy_models/GW280225a_catO5_2116_gammapy.fits,GCNs/GW280225a_GCN.json,2028-02-25 04:19:32.162407,11200.0,1.501,[]
90,GW280225b,1829,gammapy_models/GW280225b_catO5_1829_gammapy.fits,GCNs/GW280225b_GCN.json,2028-02-25 09:36:22.558619,1220.0,0.236,[]
91,GW280225c,197,gammapy_models/GW280225c_catO5_197_gammapy.fits,GCNs/GW280225c_GCN.json,2028-02-25 14:11:55.564298,256.0,0.055,[]
92,GW280225d,2293,gammapy_models/GW280225d_catO5_2293_gammapy.fits,GCNs/GW280225d_GCN.json,2028-02-25 15:43:43.337057,602.0,0.125,[]
93,GW280226a,2196,gammapy_models/GW280226a_catO5_2196_gammapy.fits,GCNs/GW280226a_GCN.json,2028-02-26 03:32:35.779153,351.0,0.075,[]
94,GW280226b,1150,gammapy_models/GW280226b_catO5_1150_gammapy.fits,GCNs/GW280226b_GCN.json,2028-02-26 08:37:00.548739,193.0,0.042,[]
95,GW280226c,1707,gammapy_models/GW280226c_catO5_1707_gammapy.fits,GCNs/GW280226c_GCN.json,2028-02-26 10:39:27.116633,642.0,0.132,[]
96,GW280226d,1305,gammapy_models/GW280226d_catO5_1305_gammapy.fits,GCNs/GW280226d_GCN.json,2028-02-26 20:21:41.682623,381.0,0.081,[]
97,GW280227a,822,gammapy_models/GW280227a_catO5_822_gammapy.fits,GCNs/GW280227a_GCN.json,2028-02-27 06:24:43.754246,868.0,0.174,[]
98,GW280228a,251,gammapy_models/GW280228a_catO5_251_gammapy.fits,GCNs/GW280228a_GCN.json,2028-02-28 22:37:01.906756,809.0,0.163,[]
99,GW280301a,576,gammapy_models/GW280301a_catO5_576_gammapy.fits,GCNs/GW280301a_GCN.json,2028-03-01 02:40:02.402924,465.0,0.098,[]
100,GW280301b,898,gammapy_models/GW280301b_catO5_898_gammapy.fits,GCNs/GW280301b_GCN.json,2028-03-01 08:47:47.932959,878.0,0.176,[]
101,GW280302a,416,gammapy_models/GW280302a_catO5_416_gammapy.fits,GCNs/GW280302a_GCN.json,2028-03-02 14:11:11.390278,476.0,0.1,[]
102,GW280302b,610,gammapy_models/GW280302b_catO5_610_gammapy.fits,GCNs/GW280302b_GCN.json,2028-03-02 17:05:37.613291,200.0,0.044,[]
103,GW280303a,2215,gammapy_models/GW280303a_catO5_2215_gammapy.fits,GCNs/GW280303a_GCN.json,2028-03-03 10:39:43.245798,580.0,0.12,[]
104,GW280303b,1099,gammapy_models/GW280303b_catO5_1099_gammapy.fits,GCNs/GW280303b_GCN.json,2028-03-03 16:30:14.397131,473.0,0.099,[]
105,GW280304a,93,gammapy_models/GW280304a_catO5_93_gammapy.fits,GCNs/GW280304a_GCN.json,2028-03-04 15:33:17.508712,991.0,0.196,[]
106,GW280305a,358,gammapy_models/GW280305a_catO5_358_gammapy.fits,GCNs/GW280305a_GCN.json,2028-03-05 02:14:38.124483,2050.0,0.371,[]
107,GW280305b,324,gammapy_models/GW280305b_catO5_324_gammapy.fits,GCNs/GW280305b_GCN.json,2028-03-05 08:45:29.154418,10600.0,1.435,[]
108,GW280305c,1572,gammapy_models/GW280305c_catO5_1572_gammapy.fits,GCNs/GW280305c_GCN.json,2028-03-05 15:09:24.055915,858.0,0.172,[]
109,GW280306a,363,gammapy_models/GW280306a_catO5_363_gammapy.fits,GCNs/GW280306a_GCN.json,2028-03-06 11:05:51.203748,853.0,0.171,[]
110,GW280308a,1815,gammapy_models/GW280308a_catO5_1815_gammapy.fits,GCNs/GW280308a_GCN.json,2028-03-08 16:33:43.225331,1030.0,0.203,[]
111,GW280308b,87,gammapy_models/GW280308b_catO5_87_gammapy.fits,GCNs/GW280308b_GCN.json,2028-03-08 17:39:22.292547,235.0,0.051,[]
112,GW280309a,2015,gammapy_models/GW280309a_catO5_2015_gammapy.fits,GCNs/GW280309a_GCN.json,2028-03-09 10:29:36.083777,1040.0,0.205,[]
113,GW280310a,829,gammapy_models/GW280310a_catO5_829_gammapy.fits,GCNs/GW280310a_GCN.json,2028-03-10 13:09:15.034117,650.0,0.134,[]
114,GW280312a,966,gammapy_models/GW280312a_catO5_966_gammapy.fits,GCNs/GW280312a_GCN.json,2028-03-12 01:16:37.642023,959.0,0.191,[]
115,GW280312b,1733,gammapy_models/GW280312b_catO5_1733_gammapy.fits,GCNs/GW280312b_GCN.json,2028-03-12 20:10:13.872558,592.0,0.123,[]
116,GW280313a,646,gammapy_models/GW280313a_catO5_646_gammapy.fits,GCNs/GW280313a_GCN.json,2028-03-13 12:20:17.028040,248.0,0.054,[]
117,GW280314a,739,gammapy_models/GW280314a_catO5_739_gammapy.fits,GCNs/GW280314a_GCN.json,2028-03-14 21:33:02.273903,631.0,0.13,[]
118,GW280316a,132,gammapy_models/GW280316a_catO5_132_gammapy.fits,GCNs/GW280316a_GCN.json,2028-03-16 14:26:03.794284,836.0,0.168,[]
119,GW280317a,1567,gammapy_models/GW280317a_catO5_1567_gammapy.fits,GCNs/GW280317a_GCN.json,2028-03-17 21:24:23.096935,439.0,0.093,[]
120,GW280319a,2000,gammapy_models/GW280319a_catO5_2000_gammapy.fits,GCNs/GW280319a_GCN.json,2028-03-19 16:13:55.720393,12700.0,1.662,[]
121,GW280319b,1098,gammapy_models/GW280319b_catO5_1098_gammapy.fits,GCNs/GW280319b_GCN.json,2028-03-19 16:57:07.239791,806.0,0.163,[]
122,GW280319c,1022,gammapy_models/GW280319c_catO5_1022_gammapy.fits,GCNs/GW280319c_GCN.json,2028-03-19 21:47:50.122351,940.0,0.187,[]
123,GW280320a,106,gammapy_models/GW280320a_catO5_106_gammapy.fits,GCNs/GW280320a_GCN.json,2028-03-20 10:18:06.932324,1600.0,0.3,[]
124,GW280320b,360,gammapy_models/GW280320b_catO5_360_gammapy.fits,GCNs/GW280320b_GCN.json,2028-03-20 13:57:04.270789,294.0,0.063,[]
125,GW280320c,1877,gammapy_models/GW280320c_catO5_1877_gammapy.fits,GCNs/GW280320c_GCN.json,2028-03-20 23:16:25.222516,169.0,0.037,[]
126,GW280323a,1238,gammapy_models/GW280323a_catO5_1238_gammapy.fits,GCNs/GW280323a_GCN.json,2028-03-23 18:10:38.897525,772.0,0.157,[]
127,GW280323b,872,gammapy_models/GW280323b_catO5_872_gammapy.fits,GCNs/GW280323b_GCN.json,2028-03-23 18:33:30.971646,662.0,0.136,[]
128,GW280324a,2069,gammapy_models/GW280324a_catO5_2069_gammapy.fits,GCNs/GW280324a_GCN.json,2028-03-24 09:15:56.016282,486.0,0.102,[]
129,GW280324b,1719,gammapy_models/GW280324b_catO5_1719_gammapy.fits,GCNs/GW280324b_GCN.json,2028-03-24 17:45:10.303068,954.0,0.19,[]
130,GW280325a,778,gammapy_models/GW280325a_catO5_778_gammapy.fits,GCNs/GW280325a_GCN.json,2028-03-25 15:20:02.616549,1170.0,0.228,[]
131,GW280325b,1468,gammapy_models/GW280325b_catO5_1468_gammapy.fits,GCNs/GW280325b_GCN.json,2028-03-25 17:00:18.739695,350.0,0.075,[]
132,GW280325c,1173,gammapy_models/GW280325c_catO5_1173_gammapy.fits,GCNs/GW280325c_GCN.json,2028-03-25 17:39:06.813459,473.0,0.099,[]
133,GW280325d,277,gammapy_models/GW280325d_catO5_277_gammapy.fits,GCNs/GW280325d_GCN.json,2028-03-25 18:27:34.469996,329.0,0.071,[]
134,GW280326a,230,gammapy_models/GW280326a_catO5_230_gammapy.fits,GCNs/GW280326a_GCN.json,2028-03-26 14:37:53.011826,401.0,0.085,[]
135,GW280327a,140,gammapy_models/GW280327a_catO5_140_gammapy.fits,GCNs/GW280327a_GCN.json,2028-03-27 09:22:36.462759,9710.0,1.336,[]
136,GW280327b,1562,gammapy_models/GW280327b_catO5_1562_gammapy.fits,GCNs/GW280327b_GCN.json,2028-03-27 22:31:47.006417,849.0,0.171,[]
137,GW280328a,1290,gammapy_models/GW280328a_catO5_1290_gammapy.fits,GCNs/GW280328a_GCN.json,2028-03-28 00:37:36.339867,368.0,0.078,[]
138,GW280328b,1704,gammapy_models/GW280328b_catO5_1704_gammapy.fits,GCNs/GW280328b_GCN.json,2028-03-28 01:04:00.545633,698.0,0.143,[]
139,GW280328c,1626,gammapy_models/GW280328c_catO5_1626_gammapy.fits,GCNs/GW280328c_GCN.json,2028-03-28 22:43:19.574822,290.0,0.063,[]
140,GW280329a,377,gammapy_models/GW280329a_catO5_377_gammapy.fits,GCNs/GW280329a_GCN.json,2028-03-29 08:54:06.728180,471.0,0.099,[]
141,GW280329b,562,gammapy_models/GW280329b_catO5_562_gammapy.fits,GCNs/GW280329b_GCN.json,2028-03-29 08:54:20.539845,1510.0,0.285,[]
142,GW280329c,1486,gammapy_models/GW280329c_catO5_1486_gammapy.fits,GCNs/GW280329c_GCN.json,2028-03-29 12:23:21.895740,1070.0,0.21,[]
143,GW280329d,145,gammapy_models/GW280329d_catO5_145_gammapy.fits,GCNs/GW280329d_GCN.json,2028-03-29 13:07:30.605595,227.0,0.049,[]
144,GW280329e,2084,gammapy_models/GW280329e_catO5_2084_gammapy.fits,GCNs/GW280329e_GCN.json,2028-03-29 18:29:04.747166,688.0,0.141,[]
145,GW280330a,524,gammapy_models/GW280330a_catO5_524_gammapy.fits,GCNs/GW280330a_GCN.json,2028-03-30 22:06:24.449362,383.0,0.081,[]
146,GW280331a,1853,gammapy_models/GW280331a_catO5_1853_gammapy.fits,GCNs/GW280331a_GCN.json,2028-03-31 07:36:53.085230,535.0,0.112,[]
147,GW280401a,14,gammapy_models/GW280401a_catO5_14_gammapy.fits,GCNs/GW280401a_GCN.json,2028-04-01 01:22:32.095664,814.0,0.164,[]
148,GW280401b,49,gammapy_models/GW280401b_catO5_49_gammapy.fits,GCNs/GW280401b_GCN.json,2028-04-01 02:16:17.797725,758.0,0.154,[]
149,GW280401c,2131,gammapy_models/GW280401c_catO5_2131_gammapy.fits,GCNs/GW280401c_GCN.json,2028-04-01 19:26:10.375659,816.0,0.165,[]
150,GW280402a,1315,gammapy_models/GW280402a_catO5_1315_gammapy.fits,GCNs/GW280402a_GCN.json,2028-04-02 01:54:51.555659,2590.0,0.452,[]
151,GW280403a,1994,gammapy_models/GW280403a_catO5_1994_gammapy.fits,GCNs/GW280403a_GCN.json,2028-04-03 09:06:09.864710,2620.0,0.457,[]
152,GW280403b,111,gammapy_models/GW280403b_catO5_111_gammapy.fits,GCNs/GW280403b_GCN.json,2028-04-03 13:24:25.563474,194.0,0.042,[]
153,GW280403c,255,gammapy_models/GW280403c_catO5_255_gammapy.fits,GCNs/GW280403c_GCN.json,2028-04-03 15:52:20.649242,1270.0,0.245,[]
154,GW280404a,868,gammapy_models/GW280404a_catO5_868_gammapy.fits,GCNs/GW280404a_GCN.json,2028-04-04 10:56:57.522096,848.0,0.17,[]
155,GW280405a,2258,gammapy_models/GW280405a_catO5_2258_gammapy.fits,GCNs/GW280405a_GCN.json,2028-04-05 14:30:13.260022,905.0,0.181,[]
156,GW280405b,511,gammapy_models/GW280405b_catO5_511_gammapy.fits,GCNs/GW280405b_GCN.json,2028-04-05 15:00:01.040703,603.0,0.125,[]
157,GW280405c,1601,gammapy_models/GW280405c_catO5_1601_gammapy.fits,GCNs/GW280405c_GCN.json,2028-04-05 19:12:21.805987,288.0,0.062,[]
158,GW280406a,1094,gammapy_models/GW280406a_catO5_1094_gammapy.fits,GCNs/GW280406a_GCN.json,2028-04-06 11:28:30.026155,1490.0,0.282,[]
159,GW280407a,451,gammapy_models/GW280407a_catO5_451_gammapy.fits,GCNs/GW280407a_GCN.json,2028-04-07 21:14:05.783067,216.0,0.047,[]
160,GW280407b,220,gammapy_models/GW280407b_catO5_220_gammapy.fits,GCNs/GW280407b_GCN.json,2028-04-07 22:01:23.011290,559.0,0.116,[]
161,GW280407c,2101,gammapy_models/GW280407c_catO5_2101_gammapy.fits,GCNs/GW280407c_GCN.json,2028-04-07 23:31:42.763339,651.0,0.134,[]
162,GW280408a,590,gammapy_models/GW280408a_catO5_590_gammapy.fits,GCNs/GW280408a_GCN.json,2028-04-08 05:00:45.917838,1390.0,0.265,[]
163,GW280410a,862,gammapy_models/GW280410a_catO5_862_gammapy.fits,GCNs/GW280410a_GCN.json,2028-04-10 01:28:58.347433,1450.0,0.275,[]
164,GW280411a,1848,gammapy_models/GW280411a_catO5_1848_gammapy.fits,GCNs/GW280411a_GCN.json,2028-04-11 05:26:50.820244,573.0,0.119,[]
165,GW280411b,1157,gammapy_models/GW280411b_catO5_1157_gammapy.fits,GCNs/GW280411b_GCN.json,2028-04-11 06:53:07.624427,231.0,0.05,[]
166,GW280411c,1573,gammapy_models/GW280411c_catO5_1573_gammapy.fits,GCNs/GW280411c_GCN.json,2028-04-11 21:36:51.621902,331.0,0.071,[]
167,GW280412a,735,gammapy_models/GW280412a_catO5_735_gammapy.fits,GCNs/GW280412a_GCN.json,2028-04-12 13:42:59.023149,513.0,0.107,[]
